record_id,category,entity_id,name_en,name_zh,claim,claim_type,value,unit,evidence_grade,source,url,year,verify,notes,tags
DIS-D2-PAR-warning_lead_time_days,disruption,D2,"Rainstorm, flood and waterlogging",,model prior: warning_lead_time_days,parameter,"[0.5, 3.0]",,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
DIS-D2-PAR-action_window_days,disruption,D2,"Rainstorm, flood and waterlogging",,model prior: action_window_days,parameter,2,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
DIS-D2-DATA-21058,disruption,D2,"Rainstorm, flood and waterlogging",,"hourly rainfall and river stage, flood warning issuance timestamps",context,,,C,curated:config,,,False,,data_requirement
DIS-D2-DATA-576203,disruption,D2,"Rainstorm, flood and waterlogging",,remote sensing inundation extent by event,context,,,C,curated:config,,,False,,data_requirement
DIS-D2-DATA-677752,disruption,D2,"Rainstorm, flood and waterlogging",,service work orders with request/dispatch/arrival timestamps,context,,,C,curated:config,,,False,,data_requirement
DIS-D2-DATA-523459,disruption,D2,"Rainstorm, flood and waterlogging",,crop calendar by county to align stage vulnerability,context,,,C,curated:config,,,False,,data_requirement
DIS-D3-SCOPE,disruption,D3,Compound heat-drought with power and network interruption,高温干旱复合冲击（伴电力/网络中断）,"THE DIAGNOSTIC SHOCK OF THIS STUDY. Extreme heat raises irrigation demand at the same moment that hydropower shortfall and grid stress cut the electricity that pumps, sensors, base stations and platforms depend on. Technology efficacy is therefore NOT exogenous: it collapses exactly when it is most needed. The August 2022 Sichuan heat-drought episode with industrial power rationing is the reference event. Any model that applies a fixed percentage loss reduction to smart technology will overstate resilience precisely here, so this shock is the sharpest test of the whole modelling claim and the strongest argument for redundancy and maintenance policies over pure equipment subsidies.",mechanism,,,B,curated:config,,,False,tier=tier1,scope_decision|tier1|T1|T2|T3
DIS-D3-CHANNEL,disruption,D3,Compound heat-drought with power and network interruption,高温干旱复合冲击（伴电力/网络中断）,"heat sterility and moisture deficit, PLUS forced technology outage (pump downtime, sensor and gateway loss, warning not delivered)",mechanism,,,B,curated:config,,,False,,loss_channel
DIS-D3-PAR-annual_probability_prior,disruption,D3,Compound heat-drought with power and network interruption,,calibrated: annual_probability_prior,parameter,0.078,,B,curated:config,,,False,derived from ERA5 reanalysis 1991-2024,parameter|calibrated
DIS-D3-PAR-severity_distribution,disruption,D3,Compound heat-drought with power and network interruption,,model prior: severity_distribution,parameter,beta,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
DIS-D3-PAR-severity_params,disruption,D3,Compound heat-drought with power and network interruption,,calibrated: severity_params,parameter,"[2.54, 1.81]",,B,curated:config,,,False,derived from ERA5 reanalysis 1991-2024,parameter|calibrated
DIS-D3-PAR-spatial_correlation,disruption,D3,Compound heat-drought with power and network interruption,,calibrated: spatial_correlation,parameter,0.542,,B,curated:config,,,False,derived from ERA5 reanalysis 1991-2024,parameter|calibrated
DIS-D3-PAR-probability_by_county,disruption,D3,Compound heat-drought with power and network interruption,,calibrated: probability_by_county,parameter,"{'C1': 0.088, 'C2': 0.088, 'C3': 0.088, 'C4': 0.059, 'C5': 0.147, 'C6': 0.0}",,B,curated:config,,,False,derived from ERA5 reanalysis 1991-2024,parameter|calibrated
DIS-D3-PAR-n_events_observed,disruption,D3,Compound heat-drought with power and network interruption,,calibrated: n_events_observed,parameter,16,,B,curated:config,,,False,derived from ERA5 reanalysis 1991-2024,parameter|calibrated
DIS-D3-PAR-hazard_definition,disruption,D3,Compound heat-drought with power and network interruption,,calibrated: hazard_definition,parameter,SPI <= -1.0 and hot days >= county p75,,B,curated:config,,,False,derived from ERA5 reanalysis 1991-2024,parameter|calibrated
DIS-D3-PAR-yield_damage_max,disruption,D3,Compound heat-drought with power and network interruption,,model prior: yield_damage_max,parameter,0.6,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
DIS-D3-PAR-terrain_multiplier,disruption,D3,Compound heat-drought with power and network interruption,,model prior: terrain_multiplier,parameter,"{'plain': 0.9, 'hill': 1.05, 'mountain': 1.0}",,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
DIS-D3-PAR-tech_availability_multiplier,disruption,D3,Compound heat-drought with power and network interruption,,model prior: tech_availability_multiplier,parameter,0.35,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
DIS-D3-PAR-outage_duration_days,disruption,D3,Compound heat-drought with power and network interruption,,model prior: outage_duration_days,parameter,"[2, 12]",,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
DIS-D3-DATA-770758,disruption,D3,Compound heat-drought with power and network interruption,,2022 heat-drought event chronology and power rationing notices,context,,,C,curated:config,,,False,,data_requirement
DIS-D3-DATA-34507,disruption,D3,Compound heat-drought with power and network interruption,,base station outage and platform downtime logs,context,,,C,curated:config,,,False,,data_requirement
DIS-D3-DATA-211069,disruption,D3,Compound heat-drought with power and network interruption,,irrigation pump electricity consumption series,context,,,C,curated:config,,,False,,data_requirement
DIS-D3-DATA-354683,disruption,D3,Compound heat-drought with power and network interruption,,device telemetry gaps during the event window,context,,,C,curated:config,,,False,,data_requirement
DIS-D4-SCOPE,disruption,D4,"Input price shock (fertiliser, diesel, electricity)",投入品价格冲击（化肥、柴油、电力）,"Moved out of the modelled set in the August 2026 scope revision. It was the only shock acting through the CASH constraint rather than the yield function, so no yield-side technology could address its damage and it shared no loss channel with D1-D3. Calibrating it also required a separate price-series data chain (fertiliser, diesel and agricultural electricity indices plus farm-gate output prices) that is not needed for any other part of the model. Retained here because it remains the sharpest test of whether capital subsidies help when the binding constraint is working capital, and because the economic-shock machinery is still present in shocks.py: it can be reinstated by moving this entry back to tier1, with no code change.",mechanism,,,B,curated:config,,,False,tier=tier2,scope_decision|tier2|T2|T3
DIS-D5-SCOPE,disruption,D5,Migratory pest outbreak (fall armyworm),草地贪夜蛾等迁飞性害虫,"Excellent match for early-warning technology (T1) and drone spraying (T3), and Sichuan sits on a migration corridor, but outbreak data are patchier than meteorological series. Add in version 2 once plant protection station records are secured.",mechanism,,,C,curated:config,,,False,tier=tier2,scope_decision|tier2|T1|T3
DIS-D6-SCOPE,disruption,D6,Continuous overcast rain and hail at harvest,连阴雨、冰雹,Localised; needs finer-grained station data than the MVP.,mechanism,,,C,curated:config,,,False,tier=tier2,scope_decision|tier2|T1|T3
DIS-D7-SCOPE,disruption,D7,Output price shock (hog cycle),生猪价格周期,"Sichuan is a leading hog province and the livestock module is a separate technology path (environmental control, biosecurity monitoring). Out of scope for a crop-focused MVP.",mechanism,,,B,curated:config,,,False,tier=tier2,scope_decision|tier2|T4
DIS-X1-SCOPE,disruption,X1,Earthquake,,"High salience in Sichuan but essentially orthogonal to smart agricultural technology adoption decisions and effort levels; the response channel is emergency management, not agronomic operations. Including it would add variance without discriminating between the policies under study.",mechanism,,,C,curated:config,,,False,tier=excluded,scope_decision|excluded
DIS-X2-SCOPE,disruption,X2,Trade and export demand shocks,,"Acts on marketing and e-commerce channels rather than on production effort and disaster loss, which is the causal chain this model is built to represent.",mechanism,,,C,curated:config,,,False,tier=excluded,scope_decision|excluded
TEC-T1-SCOPE,technology,T1,Digital early warning and agro-situation information,数字预警与农情信息服务,"Buys lead time. Converts an unanticipated shock into an anticipated one, enabling pre-emptive drainage, irrigation, early harvest or input adjustment. Value is entirely conditional on the farmer having the CAPACITY to act (labour, machinery access) within the action window, which is why T1 and T3 are complements rather than substitutes.",mechanism,,,B,curated:config,,,False,status=in_scope; channel=information,scope_decision|in_scope|none|service
TEC-T1-ANCHOR,technology,T1,Digital early warning and agro-situation information,,"Provincial action plan targets extend micro-climate station coverage from 36 counties to 66 counties, and the digital base map pilot from 7 prefectures towards province-wide coverage. Rural 5G and broadband coverage is effectively universal at village level, so the binding constraint is not connectivity but whether a warning is ACTED ON.",context,,,B,curated:provincial action plan and statistics,,,True,,sichuan_anchor
TEC-T1-PAR-eta_drought,technology,T1,Digital early warning and agro-situation information,,model prior: eta_drought,parameter,0.12,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T1-PAR-eta_flood,technology,T1,Digital early warning and agro-situation information,,model prior: eta_flood,parameter,0.28,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T1-PAR-eta_compound,technology,T1,Digital early warning and agro-situation information,,model prior: eta_compound,parameter,0.15,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T1-PAR-capex_per_farm,technology,T1,Digital early warning and agro-situation information,,model prior: capex_per_farm,parameter,0.0,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T1-PAR-opex_per_mu,technology,T1,Digital early warning and agro-situation information,,model prior: opex_per_mu,parameter,2.0,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T1-PAR-learning_cost,technology,T1,Digital early warning and agro-situation information,,model prior: learning_cost,parameter,0.15,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T1-PAR-digital_literacy_threshold,technology,T1,Digital early warning and agro-situation information,,model prior: digital_literacy_threshold,parameter,0.25,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T1-PAR-availability_base,technology,T1,Digital early warning and agro-situation information,,model prior: availability_base,parameter,0.92,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T1-PAR-false_alarm_rate,technology,T1,Digital early warning and agro-situation information,,model prior: false_alarm_rate,parameter,0.2,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T1-PAR-lead_time_days,technology,T1,Digital early warning and agro-situation information,,model prior: lead_time_days,parameter,"[0.5, 3.0]",,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T1-PAR-terrain_fit,technology,T1,Digital early warning and agro-situation information,,model prior: terrain_fit,parameter,"{'plain': 1.0, 'hill': 0.95, 'mountain': 0.85}",,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T2-SCOPE,technology,T2,"Smart irrigation, fertigation and field sensing",智慧灌溉、水肥一体化与传感器,"Acts directly on the D1 loss mechanism by maintaining root-zone moisture during the reproductive stage. Highest capital intensity of the three, therefore the most exposed to liquidity constraints and the most dependent on maintenance. Requires an existing water source: on hill plots without one, the marginal value is near zero, which is the main source of spatial heterogeneity in returns.",mechanism,,,B,curated:config,,,False,status=in_scope; channel=biophysical,scope_decision|in_scope|none|own|rent|service
TEC-T2-ANCHOR,technology,T2,"Smart irrigation, fertigation and field sensing",,"Provincial targets move smart water-fertiliser integration from about 540 thousand mu across 13 counties towards roughly 1.65 million mu across 40 counties. Effective irrigated area is around 3.0 million ha, so smart fertigation remains a small share of irrigated land and its value is strongly conditional on the underlying irrigation asset.",context,,,B,curated:provincial action plan and statistics,,,True,,sichuan_anchor
TEC-T2-PAR-eta_drought,technology,T2,"Smart irrigation, fertigation and field sensing",,model prior: eta_drought,parameter,0.45,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T2-PAR-eta_flood,technology,T2,"Smart irrigation, fertigation and field sensing",,model prior: eta_flood,parameter,0.05,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T2-PAR-eta_compound,technology,T2,"Smart irrigation, fertigation and field sensing",,model prior: eta_compound,parameter,0.4,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T2-PAR-capex_per_mu,technology,T2,"Smart irrigation, fertigation and field sensing",,model prior: capex_per_mu,parameter,420.0,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T2-PAR-opex_per_mu,technology,T2,"Smart irrigation, fertigation and field sensing",,model prior: opex_per_mu,parameter,35.0,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T2-PAR-lifetime_years,technology,T2,"Smart irrigation, fertigation and field sensing",,model prior: lifetime_years,parameter,8,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T2-PAR-learning_cost,technology,T2,"Smart irrigation, fertigation and field sensing",,model prior: learning_cost,parameter,0.45,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T2-PAR-digital_literacy_threshold,technology,T2,"Smart irrigation, fertigation and field sensing",,model prior: digital_literacy_threshold,parameter,0.4,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T2-PAR-availability_base,technology,T2,"Smart irrigation, fertigation and field sensing",,model prior: availability_base,parameter,0.88,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T2-PAR-failure_rate_annual,technology,T2,"Smart irrigation, fertigation and field sensing",,model prior: failure_rate_annual,parameter,0.18,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T2-PAR-repair_delay_days_prior,technology,T2,"Smart irrigation, fertigation and field sensing",,model prior: repair_delay_days_prior,parameter,9,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T2-PAR-requires_water_source,technology,T2,"Smart irrigation, fertigation and field sensing",,model prior: requires_water_source,parameter,True,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T2-PAR-power_dependent,technology,T2,"Smart irrigation, fertigation and field sensing",,model prior: power_dependent,parameter,True,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T2-PAR-terrain_fit,technology,T2,"Smart irrigation, fertigation and field sensing",,model prior: terrain_fit,parameter,"{'plain': 1.0, 'hill': 0.75, 'mountain': 0.45}",,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T3-SCOPE,technology,T3,Drone and BeiDou smart machinery operating services,无人机植保与北斗智能农机社会化服务,"Compresses the time needed to complete a critical operation, which is what converts an early warning into avoided loss. This is the ONLY bundle whose effectiveness is capacity-rationed at the system level: when many farmers are hit simultaneously, the queue lengthens, service arrives after the action window closes and realised efficacy falls even though every farmer is nominally an adopter. That congestion feedback is the primary reason the SD layer exists.",mechanism,,,B,curated:config,,,False,status=in_scope; channel=operating_capacity,scope_decision|in_scope|none|own|service
TEC-T3-ANCHOR,technology,T3,Drone and BeiDou smart machinery operating services,,"Provincial targets include more than 200 regional agricultural machinery service centres, upgrading roughly 26 thousand existing terminals, an intelligent assistance and monitoring equipment rate of about 60 per cent, over 15 thousand drones and more than 5 thousand licensed pilots. Comprehensive mechanisation of major crops was around 65 per cent in 2021, below the national level, with maize about 43 per cent and potato about 26 per cent, so machinery capacity is itself scarce and queueing is real rather than notional.",context,,,B,curated:provincial action plan and statistics,,,True,,sichuan_anchor
TEC-T3-PAR-eta_drought,technology,T3,Drone and BeiDou smart machinery operating services,,model prior: eta_drought,parameter,0.1,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T3-PAR-eta_flood,technology,T3,Drone and BeiDou smart machinery operating services,,model prior: eta_flood,parameter,0.35,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T3-PAR-eta_compound,technology,T3,Drone and BeiDou smart machinery operating services,,model prior: eta_compound,parameter,0.2,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T3-PAR-capex_own_per_unit,technology,T3,Drone and BeiDou smart machinery operating services,,model prior: capex_own_per_unit,parameter,62000.0,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T3-PAR-service_price_per_mu,technology,T3,Drone and BeiDou smart machinery operating services,,model prior: service_price_per_mu,parameter,12.0,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T3-PAR-opex_per_mu,technology,T3,Drone and BeiDou smart machinery operating services,,model prior: opex_per_mu,parameter,0.0,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T3-PAR-learning_cost,technology,T3,Drone and BeiDou smart machinery operating services,,model prior: learning_cost,parameter,0.25,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T3-PAR-learning_cost_own,technology,T3,Drone and BeiDou smart machinery operating services,,model prior: learning_cost_own,parameter,0.6,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T3-PAR-digital_literacy_threshold,technology,T3,Drone and BeiDou smart machinery operating services,,model prior: digital_literacy_threshold,parameter,0.2,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T3-PAR-availability_base,technology,T3,Drone and BeiDou smart machinery operating services,,model prior: availability_base,parameter,0.9,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T3-PAR-capacity_mu_per_unit_per_day,technology,T3,Drone and BeiDou smart machinery operating services,,model prior: capacity_mu_per_unit_per_day,parameter,300.0,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T3-PAR-failure_rate_annual,technology,T3,Drone and BeiDou smart machinery operating services,,model prior: failure_rate_annual,parameter,0.22,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T3-PAR-terrain_fit,technology,T3,Drone and BeiDou smart machinery operating services,,model prior: terrain_fit,parameter,"{'plain': 1.0, 'hill': 0.85, 'mountain': 0.55}",,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T3-PAR-congestion_sensitive,technology,T3,Drone and BeiDou smart machinery operating services,,model prior: congestion_sensitive,parameter,True,,C,curated:config,,,True,"prior for calibration, not a measurement",parameter|prior
TEC-T4-SCOPE,technology,T4,Livestock and aquaculture intelligent monitoring,智慧牧场与智慧渔场,"Provincial targets of 50 smart pastures and 20 smart fisheries make this a real adoption path, and Sichuan is a leading hog province, but the technology, shock set and policy instruments differ enough that it belongs in a separate model version rather than a crop MVP.",mechanism,,,B,curated:config,,,False,status=out_of_scope_mvp; channel=biophysical,scope_decision|out_of_scope_mvp|own|service
TEC-T5-SCOPE,technology,T5,"Platform, traceability and e-commerce",电商、追溯与经营平台,"Well evidenced at provincial level, but acts on marketing margins rather than on production effort and disaster loss, so it does not belong in the causal chain this model represents. Retained as a context variable only.",mechanism,,,A,curated:config,,,False,status=out_of_scope_mvp; channel=market,scope_decision|out_of_scope_mvp
TEC-T6-SCOPE,technology,T6,Precision agricultural insurance with remote sensing loss assessment,精准农业保险与遥感核损,"Provincial targets extend precision agricultural insurance towards 176 agricultural counties. Modelled as policy instrument P6 rather than as a technology bundle, because from the farmer's perspective it changes the payoff distribution rather than the production technology. It is also the clearest real-world case of technology making an outcome VERIFIABLE, which is the enabling condition for the outcome-contingent contract in the theoretical model.",mechanism,,,B,curated:config,,,False,status=modelled_as_policy_instrument; channel=financial,scope_decision|modelled_as_policy_instrument
TEC-STATE-0,technology,STATE,"No access (network, terminal, service or eligibility missing)",,adoption state 0: not_accessible,context,,,A,curated:config,,,False,"5G village coverage, platform registration, training headcount and demonstration park counts are evidence for states 1 and 2 ONLY. They must never be used to initialise or validate states 3 and 4.",adoption_ladder
TEC-STATE-1,technology,STATE,Access exists but nothing acquired,,adoption state 1: accessible,context,,,A,curated:config,,,False,"5G village coverage, platform registration, training headcount and demonstration park counts are evidence for states 1 and 2 ONLY. They must never be used to initialise or validate states 3 and 4.",adoption_ladder
TEC-STATE-2,technology,STATE,"Purchased, registered or granted eligibility",,adoption state 2: acquired,context,,,A,curated:config,,,False,"5G village coverage, platform registration, training headcount and demonstration park counts are evidence for states 1 and 2 ONLY. They must never be used to initialise or validate states 3 and 4.",adoption_ladder
TEC-STATE-3,technology,STATE,Verifiable use in the production season,,adoption state 3: used,context,,,A,curated:config,,,False,"5G village coverage, platform registration, training headcount and demonstration park counts are evidence for states 1 and 2 ONLY. They must never be used to initialise or validate states 3 and 4.",adoption_ladder
TEC-STATE-4,technology,STATE,"Correct, timely, sustained use that changes a production action",,adoption state 4: effectively_used,context,,,A,curated:config,,,False,"5G village coverage, platform registration, training headcount and demonstration park counts are evidence for states 1 and 2 ONLY. They must never be used to initialise or validate states 3 and 4.",adoption_ladder
TEC-STATE-5,technology,STATE,"Disadopted after failure, cost or disappointment",,adoption state 5: exited,context,,,A,curated:config,,,False,"5G village coverage, platform registration, training headcount and demonstration park counts are evidence for states 1 and 2 ONLY. They must never be used to initialise or validate states 3 and 4.",adoption_ladder
POL-NP1-DOC,policy,NP1,Digital Agriculture and Rural Development Plan (2019-2025),数字农业农村发展规划（2019—2025年）,Defines the technology taxonomy and national ambition; supplies the framing for what counts as a digital agricultural technology.,policy_document,,,A,curated:config,,2020,False,scope=national; ref=,policy_document|national
POL-NP2-DOC,policy,NP2,Digital Village Development Action Plan (2022-2025),数字乡村发展行动计划（2022—2025年）,"Eight action lines including infrastructure, smart agriculture, new business forms, governance and public services. Establishes that agricultural and governance platforms share infrastructure, which matters for the shared-reliability assumption in the SD layer.",policy_document,,,A,curated:config,,2022,False,scope=national; ref=,policy_document|national
POL-NP3-DOC,policy,NP3,National Smart Agriculture Action Plan (2024-2028),全国智慧农业行动计划（2024—2028年）,National benchmark for the adoption trajectory. NOT to be assigned to Sichuan directly: Sichuan terrain and plot structure differ materially from the national average.,policy_document,,,A,curated:config,,2024,False,scope=national; ref=,policy_document|national
POL-NP3-KT,policy,NP3,National Smart Agriculture Action Plan (2024-2028),,Agricultural production informatisation rate from 27.6 per cent (2022) to 32 per cent by 2028.,target,,,A,curated:config,,2024,False,,target
POL-NP4-DOC,policy,NP4,Agricultural machinery purchase and application subsidy scheme,农机购置与应用补贴政策,"The legal and fiscal template for instrument P1, including catalogue eligibility, subsidy share caps and the application-to-payment workflow that generates the disbursement lag modelled in P1.",policy_document,,,A,curated:config,,rolling,False,scope=national; ref=,policy_document|national
POL-SP1-DOC,policy,SP1,Sichuan Smart Agriculture Action Plan (2025-2028),四川省智慧农业行动计划（2025—2028年）,"Supplies the SD capacity trajectory: these targets become the upper envelope for service capacity, station coverage and equipment stock. Scenario analysis asks whether hitting the targets actually reduces loss, and for whom.",policy_document,,,B,curated:config,,2025,True,scope=provincial; ref=川农发〔2025〕20号,policy_document|provincial
