rank,parameter,symbol,influence,title,year,source,url,relevance,cited_by,query
2,Choice model scale and attribute weights,tau,122.7%,"Smallholder willingness to pay and preferences in the way irrigation water should be managed: a choice experiment application in KwaZulu-Natal, South Africa",2019.0,crossref,https://doi.org/10.17159/wsa/2019.v45.i3.6735,5,0,choice experiment willingness to pay irrigation service farmers China
2,Choice model scale and attribute weights,tau,122.7%,Recent Advances of Hyperspectral Imaging Technology and Applications in Agriculture,2020.0,openalex,https://www.mdpi.com/2072-4292/12/16/2659/pdf?version=1597839578,4,1205,discrete choice experiment agricultural technology adoption China farmers
3,Provider effort cost,gamma,58.5%,Mechanization of Small-Scale Agriculture in China: Lessons for Enhancing Smallholder Access to Agricultural Machinery,2022.0,openalex,https://www.mdpi.com/2071-1050/14/13/7964/pdf?version=1656512039,6,76,custom hiring service provider operating cost agricultural machinery
3,Provider effort cost,gamma,58.5%,Precision and Digital Agriculture: Adoption of Technologies and Perception of Brazilian Farmers,2020.0,openalex,https://www.mdpi.com/2077-0472/10/12/653/pdf?version=1608618073,5,237,custom hiring service provider operating cost agricultural machinery
3,Provider effort cost,gamma,58.5%,Farm Profits and Adoption of Precision Agriculture,2016.0,openalex,http://ageconsearch.umn.edu/record/249773,5,177,custom hiring service provider operating cost agricultural machinery
3,Provider effort cost,gamma,58.5%,A Review on UAV-Based Applications for Precision Agriculture,2019.0,openalex,https://www.mdpi.com/2078-2489/10/11/349/pdf?version=1573470851,4,1196,drone spraying service cost per hectare China
3,Provider effort cost,gamma,58.5%,The digitization of agricultural industry – a systematic literature review on agriculture 4.0,2022.0,openalex,https://www.sciencedirect.com/science/article/pii/S2772375522000090/pdf,4,511,custom hiring service provider operating cost agricultural machinery
3,Provider effort cost,gamma,58.5%,"Drones in Precision Agriculture: A Comprehensive Review of Applications, Technologies, and Challenges",2024.0,openalex,https://www.mdpi.com/2504-446X/8/11/686/pdf?version=1732022523,4,258,drone spraying service cost per hectare China
3,Provider effort cost,gamma,58.5%,"Wage Growth, Landholding, and Mechanization in Chinese Agriculture",2016.0,openalex,https://doi.org/10.1016/j.worlddev.2016.05.002,4,221,custom hiring service provider operating cost agricultural machinery
3,Provider effort cost,gamma,58.5%,A Low-Cost Platform for Environmental Smart Farming Monitoring System Based on IoT and UAVs,2021.0,openalex,https://www.mdpi.com/2071-1050/13/11/5908/pdf?version=1621857743,4,203,drone spraying service cost per hectare China
3,Provider effort cost,gamma,58.5%,"A Novel Machine Learning Method for Estimating Biomass of Grass Swards Using a Photogrammetric Canopy Height Model, Images and Vegetation Indices Captured by a Drone",2018.0,openalex,https://www.mdpi.com/2077-0472/8/5/70/pdf?version=1526562993,4,196,drone spraying service cost per hectare China
3,Provider effort cost,gamma,58.5%,Can Commercial Low-Cost Drones and Open-Source GIS Technologies Be Suitable for Semi-Automatic Weed Mapping for Smart Farming? A Case Study in NE Italy,2021.0,openalex,https://www.mdpi.com/2072-4292/13/10/1869/pdf?version=1621318199,4,51,drone spraying service cost per hectare China
3,Provider effort cost,gamma,58.5%,Drone Implementation in Precision Agriculture – A Survey,2022.0,openalex,https://doi.org/10.46338/ijetae0422_10,4,50,drone spraying service cost per hectare China
3,Provider effort cost,gamma,58.5%,An Economic Analysis Of Government Custom Hiring Services For Different Farm Machineries In Bhutan,2020.0,openalex,https://www.banglajol.info/index.php/SJA/article/download/45297/33654,4,6,custom hiring service provider operating cost agricultural machinery
5,Provider reservation utility,U_min,23.6%,Ghana: can contract farming help smallholder farmers build resilience to climate change?,2024.0,crossref,https://doi.org/10.64628/aaj.eyrwtphr4,5,0,contract farming participation constraint smallholder China
5,Provider reservation utility,U_min,23.6%,"Factors Influencing Smallholder Rice Farmers' Participation in  Contract Farming in Taraba State, Nigeria",2026.0,crossref,https://doi.org/10.56201/ijaes.vol.12.no5.2026.pg138.145,4,0,contract farming participation constraint smallholder China
6,Technology efficacy against flood and drought,eta_k,21.9% / 16.0%,Water rights reform and water-saving irrigation: evidence from China,2023.0,crossref,https://doi.org/10.2166/wst.2023.385,7,0,water saving irrigation technology yield response China
6,Technology efficacy against flood and drought,eta_k,21.9% / 16.0%,Breeding for water-saving and drought-resistance rice (WDR) in China,2010.0,openalex,https://academic.oup.com/jxb/article-pdf/61/13/3509/1425538/erq185.pdf,6,449,irrigation drought yield loss reduction China maize rice
6,Technology efficacy against flood and drought,eta_k,21.9% / 16.0%,"Review on Drip Irrigation: Impact on Crop Yield, Quality, and Water Productivity in China",2023.0,openalex,https://www.mdpi.com/2073-4441/15/9/1733/pdf?version=1682840358,6,243,water saving irrigation technology yield response China
6,Technology efficacy against flood and drought,eta_k,21.9% / 16.0%,"Response of yield, quality, water and nitrogen use efficiency of tomato to different levels of water and nitrogen under drip irrigation in Northwestern China",2017.0,openalex,https://www.sciencedirect.com/science/article/pii/S2095311916613710/pdf,6,184,water saving irrigation technology yield response China
6,Technology efficacy against flood and drought,eta_k,21.9% / 16.0%,The occurrence of drought amplified yield loss risk for maize production in China,2020.0,crossref,https://doi.org/10.5194/egusphere-egu2020-4130,6,0,irrigation drought yield loss reduction China maize rice
6,Technology efficacy against flood and drought,eta_k,21.9% / 16.0%,"Characteristics Analysis of Summer Maize Yield Loss Caused by Drought Stress in the Northern Huaihe Plain, China",2017.0,crossref,https://doi.org/10.1002/ird.2192,6,0,irrigation drought yield loss reduction China maize rice
6,Technology efficacy against flood and drought,eta_k,21.9% / 16.0%,Impact of Climate Change Adaptive Strategies on Maize Yield and Irrigation in Drought Areas,2025.0,crossref,https://doi.org/10.1002/ird.70057,6,0,irrigation drought yield loss reduction China maize rice
6,Technology efficacy against flood and drought,eta_k,21.9% / 16.0%,"Optimal Irrigation Levels can Improve Maize Growth, Yield, and Irrigation Water Use Efficiency under Drip Irrigation in Northwest China",2022.0,crossref,https://doi.org/10.20944/preprints202211.0110.v1,6,0,irrigation drought yield loss reduction China maize rice
6,Technology efficacy against flood and drought,eta_k,21.9% / 16.0%,Study on plant protection unmanned aerial vehicle spraying technology based on the thrips population activity patterns during the cotton flowering period,2024.0,crossref,https://doi.org/10.3389/fpls.2024.1337560,6,0,unmanned aerial vehicle plant protection spraying efficacy yield China
6,Technology efficacy against flood and drought,eta_k,21.9% / 16.0%,Water-saving and high-yield mechanism of tomato under different irrigation methods,2009.0,crossref,https://doi.org/10.3724/sp.j.1011.2009.00261,6,0,water saving irrigation technology yield response China
6,Technology efficacy against flood and drought,eta_k,21.9% / 16.0%,Mitigating Drought-Induced Yield Loss Risk for Durum Wheat through Optimized Planting Schedule and Irrigation in Southern Italy,2026.0,crossref,https://doi.org/10.5194/egusphere-egu26-12892,5,0,irrigation drought yield loss reduction China maize rice
6,Technology efficacy against flood and drought,eta_k,21.9% / 16.0%,Development of Unmanned Aerial Vehicle for Agrochemical Spraying to Enhance Crop Protection,2025.0,crossref,https://doi.org/10.58578/kijeit.v2i2.5281,5,0,unmanned aerial vehicle plant protection spraying efficacy yield China
6,Technology efficacy against flood and drought,eta_k,21.9% / 16.0%,Machine Learning in Agriculture: A Review,2018.0,openalex,https://www.mdpi.com/1424-8220/18/8/2674/pdf?version=1534247979,4,3233,early warning system agricultural loss reduction value of information
6,Technology efficacy against flood and drought,eta_k,21.9% / 16.0%,"Wheat yield loss attributable to heat waves, drought and water excess at the global, national and subnational scales",2017.0,openalex,https://iopscience.iop.org/article/10.1088/1748-9326/aa723b/pdf,4,708,irrigation drought yield loss reduction China maize rice
7,Service price per mu,price,19.6%,"Impact of Agricultural Mechanization on Agricultural Production, Income, and Mechanism: Evidence From Hubei Province, China",2022.0,openalex,https://www.frontiersin.org/articles/10.3389/fenvs.2022.838686/pdf,7,158,agricultural outsourcing service price land preparation harvesting China
7,Service price per mu,price,19.6%,Impact of agricultural production outsourcing service and land fragmentation on agricultural non-point source pollution in China: Evidence from Jiangxi Province,2023.0,crossref,https://doi.org/10.3389/fenvs.2022.1079709,7,0,agricultural outsourcing service price land preparation harvesting China
7,Service price per mu,price,19.6%,How Are Smallholder Farmers Involved in Digital Agriculture in Developing Countries: A Case Study from China,2021.0,openalex,https://www.mdpi.com/2073-445X/10/3/245/pdf,6,100,agricultural outsourcing service price land preparation harvesting China
7,Service price per mu,price,19.6%,How Does Agricultural Mechanization Service Affect Agricultural Green Transformation in China?,2023.0,openalex,https://www.mdpi.com/1660-4601/20/2/1655/pdf?version=1674187387,6,26,agricultural outsourcing service price land preparation harvesting China
7,Service price per mu,price,19.6%,Smallholder farmers' willingness to pay for two‐wheel tractor‐based mechanisation services in Zambia and Zimbabwe,2023.0,openalex,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jid.3767,6,17,machinery service market price smallholder China mechanisation
7,Service price per mu,price,19.6%,Modernizing Smallholder Agriculture and Achieving Food Security: An Exploration in Machinery Services and Labor Reallocation in China,2024.0,crossref,https://doi.org/10.2139/ssrn.4831648,6,0,machinery service market price smallholder China mechanisation
7,Service price per mu,price,19.6%,Sustainable Agricultural Mechanization for Smallholders: What Is It and How Can We Implement It?,2017.0,openalex,https://www.mdpi.com/2077-0472/7/6/50/pdf?version=1497258617,5,152,machinery service market price smallholder China mechanisation
7,Service price per mu,price,19.6%,"Machinery structure, machinery subsidies, and agricultural productivity: Evidence from China",2024.0,openalex,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/agec.12820,5,48,agricultural outsourcing service price land preparation harvesting China
7,Service price per mu,price,19.6%,Do Farming Scale and Mechanization Affect Moral Hazard in Rice Harvest Outsourcing Service in China?,2022.0,openalex,https://www.mdpi.com/2077-0472/12/8/1205/pdf?version=1660291917,5,10,agricultural outsourcing service price land preparation harvesting China
7,Service price per mu,price,19.6%,"Three essays on price risk mitigation, market barriers and livelihood strategies of smallholder farmers",,crossref,https://doi.org/10.32469/10355/97060,5,0,machinery service market price smallholder China mechanisation
7,Service price per mu,price,19.6%,Scale-appropriate mechanization impacts on productivity among smallholders: Evidence from rice systems in the mid-hills of Nepal,2019.0,openalex,https://www.sciencedirect.com/science/article/am/pii/S0264837718315606,4,119,machinery service market price smallholder China mechanisation
7,Service price per mu,price,19.6%,Mechanisation of small-scale farms in South Asia: Empirical evidence derived from farm households survey,2021.0,openalex,https://www.sciencedirect.com/science/article/pii/S0160791X2100066X/pdf,4,94,machinery service market price smallholder China mechanisation
7,Service price per mu,price,19.6%,Do agricultural machinery services promote village farmland rental markets? Theory and evidence from a case study in the North China plain,2022.0,openalex,https://doi.org/10.1016/j.landusepol.2022.106388,4,47,machinery service market price smallholder China mechanisation
7,Service price per mu,price,19.6%,"Do Agricultural Machinery Services Facilitate Land Transfer? Evidence from Rice Farmers in Sichuan Province, China",2021.0,openalex,https://www.mdpi.com/2073-445X/10/5/466/pdf?version=1619763867,4,43,machinery service market price smallholder China mechanisation
9,Social learning and peer effects,beta_peer,15.5%,Precision agriculture technology adoption: a qualitative study of small-scale commercial “family farms” located in the North China Plain,2021.0,openalex,https://link.springer.com/content/pdf/10.1007/s11119-021-09839-2.pdf,8,126,social network peer effects agricultural technology adoption China village
9,Social learning and peer effects,beta_peer,15.5%,A hybrid modelling approach to understanding adoption of precision agriculture technologies in Chinese cropping systems,2020.0,openalex,https://ars.els-cdn.com/content/image/1-s2.0-S0168169919323191-ga1_lrg.jpg,7,131,social network peer effects agricultural technology adoption China village
9,Social learning and peer effects,beta_peer,15.5%,Does cooperative membership increase and accelerate agricultural technology adoption? Empirical evidence from Zambia,2020.0,openalex,https://www.sciencedirect.com/science/article/pii/S0040162520309860/pdf,5,208,social network peer effects agricultural technology adoption China village
9,Social learning and peer effects,beta_peer,15.5%,Measuring Social Networks’ Effects on Agricultural Technology Adoption,2012.0,crossref,https://doi.org/10.2139/ssrn.2024678,5,0,social network peer effects agricultural technology adoption China village
9,Social learning and peer effects,beta_peer,15.5%,Field observation and verbal exchange as different peer effects in farmers’ technology adoption decisions,2024.0,crossref,https://doi.org/10.1111/agec.12847,5,0,social network peer effects agricultural technology adoption China village
9,Social learning and peer effects,beta_peer,15.5%,"Beyond market access: service localization, village collectives and the differentiated adoption of agricultural technology in China",2025.0,crossref,https://doi.org/10.1080/00036846.2025.2585209,5,0,social network peer effects agricultural technology adoption China village
9,Social learning and peer effects,beta_peer,15.5%,"Social Network to Accelerate Agricultural Technology Adoption: Evidence from Hambanthota District, Sri Lanka",2023.0,crossref,https://doi.org/10.48165/ijee.2023.59101,5,0,social network peer effects agricultural technology adoption China village
11,Farmer risk aversion,c1,12.1%,大农场和小农户：鲁西北地区的粮食生产,2014.0,crossref,https://doi.org/10.1163/22136746-12341254,7,0,risk aversion technology adoption smallholder农户 China
11,Farmer risk aversion,c1,12.1%,Risk Aversion and Gender Gaps in Technology Adoption by Smallholder Farmers: Evidence from Ethiopia,2022.0,crossref,https://doi.org/10.1080/00220388.2022.2048653,6,0,risk aversion technology adoption smallholder农户 China
11,Farmer risk aversion,c1,12.1%,"The roles of risk aversion and climate-smart agriculture in climate risk management: Evidence from rice production in the Jianghan Plain, China",2019.0,openalex,https://www.sciencedirect.com/science/article/pii/S2212096319302104/pdf,5,72,risk aversion elicitation Chinese farmers experimental lottery CRRA
11,Farmer risk aversion,c1,12.1%,Impact of farmers’ time preference on their adoption intention of bio-pesticides: Based on the moderating effect of agricultural technology extension mode,2023.0,openalex,https://www.resci.cn/CN/PDF/10.18402/resci.2023.06.13,5,1,risk aversion technology adoption smallholder农户 China
11,Farmer risk aversion,c1,12.1%,"Subjective preferences, liquidity constraints and price risk management under large-scale farm management",2023.0,crossref,https://doi.org/10.1108/caer-12-2022-0287,5,0,risk preferences farm households China multiple price list
11,Farmer risk aversion,c1,12.1%,中国农业资本化的动力: 公司、国家、还是农户?,2013.0,crossref,https://doi.org/10.1163/22136746-12341236,5,0,risk aversion technology adoption smallholder农户 China
11,Farmer risk aversion,c1,12.1%,农业技术与农户需求适配实操分析,2026.0,crossref,https://doi.org/10.32629/as.v9i2.3740,5,0,risk aversion technology adoption smallholder农户 China
11,Farmer risk aversion,c1,12.1%,Farmers’ Risk Preferences and Agricultural Weather Index Insurance Uptake in Rural China,2016.0,openalex,https://link.springer.com/content/pdf/10.1007/s13753-016-0108-3.pdf,4,88,risk aversion elicitation Chinese farmers experimental lottery CRRA
11,Farmer risk aversion,c1,12.1%,Farm households’ input demand and output supply response to price shocks in Nigeria,2023.0,crossref,https://doi.org/10.29136/mediterranean.1189118,4,0,risk preferences farm households China multiple price list
11,Farmer risk aversion,c1,12.1%,Incentives for Green Technology Adoption and Compliance under Risk Aversion and Technological Uncertainty,2025.0,crossref,https://doi.org/10.2139/ssrn.5200584,4,0,risk aversion technology adoption smallholder农户 China
11,Farmer risk aversion,c1,12.1%,"The Gendered Dimension of Scarcity: The Impact of Mental Load on Technology Adoption, Risk Aversion, and Rationality in Rural Kenya",2024.0,crossref,https://doi.org/10.2139/ssrn.4704538,4,0,risk aversion technology adoption smallholder农户 China
11,Farmer risk aversion,c1,12.1%,The Role of Social Capital and External Factors in Farmer Behavior Change: Implications for Red Onion Agribusiness Development in the Corporate Farming,2026.0,openalex,https://nyjxxb.net/index.php/journal/article/download/2322/2317,4,0,risk aversion technology adoption smallholder农户 China
10,"Verifiability, monitoring and contract form",nu,12.7%,Impact of Land Trusteeship Interest Linkage Mechanism on Farmers’ Income: Based on Contract Theory Perspective,2026.0,crossref,https://doi.org/10.3390/land15081327,5,0,land trusteeship service outsourcing contract China 托管
10,"Verifiability, monitoring and contract form",nu,12.7%,Unmanned Aerial Vehicles (UAVs): A Survey on Civil Applications and Key Research Challenges,2019.0,openalex,https://ieeexplore.ieee.org/ielx7/6287639/8600701/08682048.pdf,4,2343,moral hazard agricultural service contract monitoring verification
10,"Verifiability, monitoring and contract form",nu,12.7%,"COSTLY YIELD VERIFICATION, MORAL HAZARD, AND CROP INSURANCE CONTRACT FORM",1997.0,crossref,https://doi.org/10.1111/j.1477-9552.1997.tb01161.x,4,0,moral hazard agricultural service contract monitoring verification
